savjetodavno tijelo	advisory body
nesposobnosti	disability
intenzitet napada kukuruznog moljca	intensity of attack
huSkanje	instigation
vulkan	volcano
vani	outwards
roDen	native
investicija	investment
primijeniti na dio	apply to section
dohvat podataka	data retrieval
investicije	investments
tronoZac	tripod
mazgar	mule
krizmanje	confirming
veGi brod s kojeg se prekrcava	mother ship
slaganje kontejnera	stacking
kadgod	wherever
sintetizator	synthesizer
raSClamba govora	speech analysis
teorija raspoloZivih fondova	loanable funds theory
trajanje poroda	duration of delivery
prolazna toCka	choke point
praktiCna filozofija	practical philosophy
student na praksi	student trainee
transcendentalni pojam slobode	transcendental concept of freedom
besciljno lutati	trapse
vojna suradnja	military cooperation
bratislavi	bratislava
mijenjeti	alter
meki umetak	pad
bratislava	bratislava
zajedniCka politika prijevoza	common transport policy
inbred linija	inbred lines
promiSljanje	devising
mnoZiti se	reproduce
raskoSna odjeGa	finery
nepravilnosti	discontinuity
vinifikacija	vinification
hipnoza	hypnosis
koji kinji	tantalizing
upasti u oko	catch the eye
pokusna bilanca	trial balance
sumrak	twilight
vremenski usklaDen prijenos	isochronous transmission
djeCaCka dob	boyhood
kategorijama	categories
podmititi	tamper
izlizati se	be worn out
meDunarodna povelja	international charter
podbadati	prod
funkcionalan	functional
pravo na slobodu govora	right to expression
dialogu	dialog
ClankonoZac	arthropod
konjunkcija	onjunction
bogohulan	blasphemous
psihoakustika	psychoacoustics
pomnoZiti	multiply
suzivot	conjoined life
ultrazvuCni zamagljivaC	ultrasonic nebulizer
predoCitelj	exhibitor
rubni uvjet	marginal condition
smjelo	gamily
smjeli	spirited
koji se moZe upravljati	navigable
nezasjenjiv	antidazzle
kodeks	signal book
protuvrijednost u nacionalnoj valuti	national currency equivalent
klinarica	fife rail
oklopljen	shell proof
Sto misliS?	what do you reckon?
pastrvski grgeC	largemouth bass
bez zametka	addle
konzultacija	consultations
ispisati	withdraw
magla je	it's foggy
hrvatska energetika	croatian energetics
despotski	tyrannical
gorska ruZa	rhododendron
stelja	flooring
prevozilac	carter
nosaC sa korisnim tavanskim prostorom	attic
zemgale	zemgale
pastuh	stud
neizmjenljiv	immutable
naftno gorivo	petroleum fuel
registriran	registered
unatraZna supstitucija	back substitution
planinarstvo	mountaineering
prikazivanje cjelokupnog crteZa	display whole drawing
ureDaj za podmorsko buSenje	marine riser system
brod sa duplom oplatom	double skin vessel
prehrambena tehnologija	food technology
povjerljiv	verifiable
sustav naziva za podruCja	domain name system
DuveG	vegetable stew
vojna baza	military base
dodati (loptu)	pass (the ball)
skupna stopa	aggregate rate
truneja	tour
dugotrajan	time proof
dio digitalne linije	digital line section
biti u vezi	communicate
utvrDivati odredbe	to set out provisions
dna	dna
cijene poljoprivrednih proizvoda	farm prices
sermoni	sermons
prouzroCiti	caused
dno	gutter
limfa	lymph
decimalni znak (decimalni zarez	decimal character
dnk	dna
postotak mlijeCne masti	fat percentage
dnu	bottom
preprijeCiti	obstruct
popredloZenje	prepositionalization
polugodiSnje	semi-annually
magijski ritual	magical ritual
polugodiSnji	semi-annual
preslikavanje oznaka	mark scanning
uCvrSGivaC	fixative
urezni filtar	comb filter
zaslonski prikaz	screen display
melanom stadij iii	melanoma therapy
raspravljanje	palaver
arheoloSka vrijednost	archGological value
urbana struktura	urban structure
digitalni celularni sustavi	digital cellular
duala	dual space
koji nije skup	inexpensive
nulti meridijan	prime meridian
odrastao Covjek	grown up
izvrSenje	swinging
preraDivaCka industrija	processing industry
zastranjivanje	deviating
vragolan	scapegrace
proizvodni	productive
izjalovljenje	frustration
dvopetinski	biquinary
dokoljenka	sock
pediatrijska trauma skala	pediatric trauma score
izvrSavati	obey
ponovno zapoSljavanje	return to employment
vjerojatnost uspjeha	probability of success
zakvaCanje	adhesion
crna Zuna	black woodpecker
digitalna serijska komunikacija	digital communication
pljunuti	spit
denatalitet	denatality
neurorazvojni ishod	neutrodevelopmental outcome
prijenosna pila	jigsaw
fluorita	fluorite
integrirani krug	integrated circuit
braSno	meal
trgovina ljudskim organima	trade in organs
pinta	pint
opravda	justify
samouCenje	self-learning
western blot	western blott
gradsko vijeGe	town council
releji	relays
sklanjati	screen
dominantan	dominating
bosanski paSa	bosnian pasha
izvrstiva spojka	detachable clutch
lokalizacija deformacija	deformation localisation
spajanja	mergers
vrijeme je ruZno	the weather is bad.
spajanje	unification
drvodjelja	carpenter
cicijaSki	sordid
vodeGi glas	lead vocals
labav	wavering
curenje goriva	oil leakage
balada	ballad
testovi osjetljivosti na karijes	sensitivity to caries tests
balade	ballads
ugljeni sloj	coal seam
poriluk	leek
savladan	smitten
spremnost	stand-by
priveziSte	mooring
pigment	pigment
razlika u bodovima	difference in points
pronalazak	invention
trotrakasta zastava	triband
kontrolnik	tally
